,Constrain,Graph,Prop_Correct,Network
687,3,2,0.34338263,Alexnet
688,3,2,0.3364042,VGG16
689,3,2,0.33637476,Resnet50
690,3,3,0.347692,Alexnet
691,3,3,0.3398825,VGG16
692,3,3,0.34293285,Resnet50
693,3,3,0.3581518,Alexnet
694,3,3,0.34964067,VGG16
695,3,3,0.34772286,Resnet50
696,3,3,0.35236758,Alexnet
697,3,3,0.33848682,VGG16
698,3,3,0.3450561,Resnet50
699,3,3,0.35401377,Alexnet
700,3,3,0.34405908,VGG16
701,3,3,0.3491786,Resnet50
702,3,3,0.35169613,Alexnet
703,3,3,0.33855405,VGG16
704,3,3,0.3446223,Resnet50
705,3,3,0.34983465,Alexnet
706,3,3,0.33694804,VGG16
707,3,3,0.34095913,Resnet50
708,3,3,0.34719744,Alexnet
709,3,3,0.336894,VGG16
710,3,3,0.34311405,Resnet50
711,3,3,0.35230887,Alexnet
712,3,3,0.33417922,VGG16
713,3,3,0.34523547,Resnet50
714,3,3,0.35638285,Alexnet
715,3,3,0.34374532,VGG16
716,3,3,0.34603423,Resnet50
717,3,3,0.3493138,Alexnet
718,3,3,0.3337081,VGG16
719,3,3,0.3439497,Resnet50
720,3,4,0.34250072,Alexnet
721,3,4,0.34113878,VGG16
722,3,4,0.35646328,Resnet50
723,3,4,0.3468906,Alexnet
724,3,4,0.3338479,VGG16
725,3,4,0.34845102,Resnet50
726,3,4,0.3399411,Alexnet
727,3,4,0.33736306,VGG16
728,3,4,0.36077434,Resnet50
729,3,4,0.35879096,Alexnet
730,3,4,0.33654734,VGG16
731,3,4,0.3543164,Resnet50
732,3,4,0.33639786,Alexnet
733,3,4,0.32721955,VGG16
734,3,4,0.33923113,Resnet50
735,3,4,0.34120184,Alexnet
736,3,4,0.33593708,VGG16
737,3,4,0.36703813,Resnet50
738,3,4,0.33790347,Alexnet
739,3,4,0.33415887,VGG16
740,3,4,0.34836242,Resnet50
741,3,4,0.3351687,Alexnet
742,3,4,0.3332286,VGG16
743,3,4,0.34619197,Resnet50
744,3,4,0.34318206,Alexnet
745,3,4,0.3319804,VGG16
746,3,4,0.34446028,Resnet50
747,3,4,0.343322,Alexnet
748,3,4,0.338799,VGG16
749,3,4,0.34994465,Resnet50
750,3,5,0.33312988,Alexnet
751,3,5,0.32324165,VGG16
752,3,5,0.32752284,Resnet50
753,3,5,0.3332681,Alexnet
754,3,5,0.32340902,VGG16
755,3,5,0.32561526,Resnet50
756,3,5,0.33484393,Alexnet
757,3,5,0.31765327,VGG16
758,3,5,0.32332358,Resnet50
759,3,5,0.3353104,Alexnet
760,3,5,0.32877254,VGG16
761,3,5,0.33056468,Resnet50
762,3,5,0.35594818,Alexnet
763,3,5,0.3475044,VGG16
764,3,5,0.35732818,Resnet50
765,3,5,0.3497485,Alexnet
766,3,5,0.3432599,VGG16
767,3,5,0.35266155,Resnet50
768,3,5,0.34940404,Alexnet
769,3,5,0.34025967,VGG16
770,3,5,0.35304973,Resnet50
771,3,5,0.3483638,Alexnet
772,3,5,0.34728718,VGG16
773,3,5,0.3579363,Resnet50
774,3,5,0.35518745,Alexnet
775,3,5,0.34662327,VGG16
776,3,5,0.35752898,Resnet50
777,3,5,0.35285553,Alexnet
778,3,5,0.34408507,VGG16
779,3,5,0.35700712,Resnet50
780,3,6,0.35944536,Alexnet
781,3,6,0.35059246,VGG16
782,3,6,0.35156226,Resnet50
783,3,6,0.3663635,Alexnet
784,3,6,0.35899773,VGG16
785,3,6,0.36066574,Resnet50
786,3,6,0.35618258,Alexnet
787,3,6,0.35044977,VGG16
