,Constrain,Graph,Prop_Correct,Network
542,4,18,0.34592178,Resnet50
543,4,18,0.34655833,Alexnet
544,4,18,0.33914658,VGG16
545,4,18,0.34164706,Resnet50
546,4,18,0.3532436,Alexnet
547,4,18,0.3392842,VGG16
548,4,18,0.3507404,Resnet50
549,4,18,0.34923473,Alexnet
550,4,18,0.33773842,VGG16
551,4,18,0.33985022,Resnet50
552,4,18,0.34567523,Alexnet
553,4,18,0.3383027,VGG16
554,4,18,0.34450936,Resnet50
555,4,18,0.34758633,Alexnet
556,4,18,0.34056655,VGG16
557,4,18,0.34264758,Resnet50
558,4,18,0.34759247,Alexnet
559,4,18,0.33727685,VGG16
560,4,18,0.3390749,Resnet50
561,4,18,0.34497467,Alexnet
562,4,18,0.33596885,VGG16
563,4,18,0.33841386,Resnet50
564,4,18,0.3471984,Alexnet
565,4,18,0.33733776,VGG16
566,4,18,0.34295723,Resnet50
567,4,18,0.35016987,Alexnet
568,4,18,0.33649865,VGG16
569,4,18,0.33913013,Resnet50
570,4,19,0.3394812,Alexnet
571,4,19,0.3359273,VGG16
572,4,19,0.3468252,Resnet50
573,4,19,0.33972862,Alexnet
574,4,19,0.33558986,VGG16
575,4,19,0.34484643,Resnet50
576,4,19,0.33894297,Alexnet
577,4,19,0.33626106,VGG16
578,4,19,0.3462908,Resnet50
579,4,19,0.33914095,Alexnet
580,4,19,0.3361071,VGG16
581,4,19,0.3464772,Resnet50
582,4,19,0.33889988,Alexnet
583,4,19,0.33644348,VGG16
584,4,19,0.34511513,Resnet50
585,4,19,0.33852366,Alexnet
586,4,19,0.33648106,VGG16
587,4,19,0.34747747,Resnet50
588,4,19,0.33873555,Alexnet
589,4,19,0.33630317,VGG16
590,4,19,0.34879404,Resnet50
591,4,19,0.33922446,Alexnet
592,4,19,0.33591166,VGG16
593,4,19,0.34559026,Resnet50
594,4,19,0.3395132,Alexnet
595,4,19,0.33594632,VGG16
596,4,19,0.3458633,Resnet50
597,4,19,0.33925188,Alexnet
598,4,19,0.33640856,VGG16
599,4,19,0.34863037,Resnet50
600,3,0,0.34083074,Alexnet
601,3,0,0.34153756,VGG16
602,3,0,0.33841303,Resnet50
603,3,0,0.33908835,Alexnet
604,3,0,0.34066752,VGG16
605,3,0,0.34117007,Resnet50
606,3,0,0.33630028,Alexnet
607,3,0,0.33694318,VGG16
608,3,0,0.32119006,Resnet50
609,3,0,0.34032094,Alexnet
610,3,0,0.3441065,VGG16
611,3,0,0.3457212,Resnet50
612,3,0,0.3409643,Alexnet
613,3,0,0.34191793,VGG16
614,3,0,0.340371,Resnet50
615,3,0,0.33945715,Alexnet
616,3,0,0.34528565,VGG16
617,3,0,0.33406097,Resnet50
618,3,0,0.34030542,Alexnet
619,3,0,0.34441146,VGG16
620,3,0,0.3387137,Resnet50
621,3,0,0.33800414,Alexnet
622,3,0,0.33927226,VGG16
623,3,0,0.321005,Resnet50
624,3,0,0.33965355,Alexnet
625,3,0,0.34095043,VGG16
626,3,0,0.34022966,Resnet50
